# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-SNAPSHOT

admin._ocanada_, boolean, 00
items::20, itemstack, 810576616C75652080C476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F53574F52440A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202044414D4147455F414C4C3A20360A2020202020204C4F4F545F424F4E55535F4D4F42533A20330A2020202020204455524142494C4954593A20330A
items::21, itemstack, 810576616C756520809776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F53574F52440A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202044414D4147455F414C4C3A20330A
items::22, itemstack, 810576616C756520810676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F53574F52440A202064616D6167653A2031300A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20C2A736496C6C7573696F6E53390A20202020656E6368616E74733A0A20202020202044414D4147455F414C4C3A20390A2020202020204455524142494C4954593A20350A202020202020464952455F4153504543543A20330A2020202020204C4F4F545F424F4E55535F4D4F42533A20330A
items::23, itemstack, 810576616C756520805A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20474F4C44454E5F4150504C450A202064616D6167653A20310A2020616D6F756E743A2036340A
items::24, itemstack, 810576616C75652080BC76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4C454747494E47530A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20350A2020202020204455524142494C4954593A20330A
items::25, itemstack, 810576616C75652080BE76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F4348455354504C4154450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20350A2020202020204455524142494C4954593A20330A
items::26, itemstack, 810576616C75652080B976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F424F4F54530A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20350A2020202020204455524142494C4954593A20330A
items::27, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204152524F570A2020616D6F756E743A2036340A
items::28, itemstack, 810576616C756520805A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20474F4C44454E5F4150504C450A202064616D6167653A20310A2020616D6F756E743A2036340A
items::29, itemstack, 810576616C75652080C776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F5049434B4158450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204449475F53504545443A20360A2020202020204455524142494C4954593A20330A2020202020204C4F4F545F424F4E55535F424C4F434B533A20330A
items::30, itemstack, 810576616C756520805A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20474F4C44454E5F4150504C450A202064616D6167653A20310A2020616D6F756E743A2036320A
items::31, itemstack, 810576616C75652080C776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F424F4F54530A202064616D6167653A203337310A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20330A2020202020204455524142494C4954593A20330A
items::32, itemstack, 810576616C756520810576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F53574F52440A202064616D6167653A20340A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20C2A736496C6C7573696F6E53390A20202020656E6368616E74733A0A20202020202044414D4147455F414C4C3A20390A2020202020204455524142494C4954593A20350A202020202020464952455F4153504543543A20330A2020202020204C4F4F545F424F4E55535F4D4F42533A20330A
items::33, itemstack, 810576616C75652080C776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F5049434B4158450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204449475F53504545443A20320A2020202020204455524142494C4954593A20330A2020202020204C4F4F545F424F4E55535F424C4F434B533A20320A
items::34, itemstack, 810576616C75652080AF76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20424F570A2020616D6F756E743A20320A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204152524F575F44414D4147453A20340A2020202020204455524142494C4954593A20330A
items::35, itemstack, 810576616C756520811776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20574F4F4C0A202064616D6167653A2031340A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20C2A76343616E63656C61720A202020206C6F72653A0A202020202D20C2A73743616E63656C61722061206F70657261C3A7C3A36F2065207265636562657220736575730A202020202D20C2A7376974656E73206E6F76616D656E74652E0A202020202D20C2A7610A202020202D20C2A763436C69717565206171756920706172612063616E63656C61722E0A
items::35, null, 
items::35, itemstack, 810576616C756520811476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20574F4F4C0A202064616D6167653A20350A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20C2A761436F6E6669726D61720A202020206C6F72653A0A202020202D20C2A737446573656A61206A6F676172206E61206C697865697261206F73206974656D730A202020202D20C2A73771756520657374C3A36F20617175693F0A202020202D20C2A7610A202020202D20C2A761436C697175652061717569207061726120636F6E6669726D61722E0A
items::35, null, 
items::*, null, 
items::1, itemstack, 810576616C756520811776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20574F4F4C0A202064616D6167653A2031340A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20C2A76343616E63656C61720A202020206C6F72653A0A202020202D20C2A73743616E63656C61722061206F70657261C3A7C3A36F2065207265636562657220736575730A202020202D20C2A7376974656E73206E6F76616D656E74652E0A202020202D20C2A7610A202020202D20C2A763436C69717565206171756920706172612063616E63656C61722E0A
items::1, null, 
items::1, itemstack, 810576616C756520811476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20574F4F4C0A202064616D6167653A20350A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20C2A761436F6E6669726D61720A202020206C6F72653A0A202020202D20C2A737446573656A61206A6F676172206E61206C697865697261206F73206974656D730A202020202D20C2A73771756520657374C3A36F20617175693F0A202020202D20C2A7610A202020202D20C2A761436C697175652061717569207061726120636F6E6669726D61722E0A
items::1, null, 
items::*, null, 
items::*, null, 
items::*, null, 
responder.guipatinho, boolean, 00
responder.guipatinho, boolean, 00
responder.todyn2202, boolean, 00
responder.guipatinho, boolean, 00
responder._ocanada_, boolean, 00
items::*, null, 
responder.todyn2202, boolean, 00
responder.guipatinho, boolean, 00
